Metric,Value
design__instance__count,37
design__instance__area,317.805
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 35.03 45.75
design__core__bbox,5.52 10.88 29.44 32.64
design__io,8
design__die__area,1602.62
design__core__area,520.499
design__instance__count__stdcell,37
design__instance__area__stdcell,317.805
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.610577
design__instance__utilization__stdcell,0.610577
design__instance__count__class:inverter,1
design__instance__count__class:sequential_cell,4
design__instance__count__class:multi_input_combinational_cell,22
flow__warnings__count,1
flow__errors__count,0
floorplan__design__io,8
design__io__hpwl,204121
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,60.234
design__instance__displacement__mean,1.627
design__instance__displacement__max,9.305
route__wirelength__estimated,436.409
design__violations,0
design__instance__count__class:timing_repair_buffer,7
design__instance__count__class:clock_buffer,3
antenna__violating__nets,0
antenna__violating__pins,0
route__net,41
route__net__special,2
route__drc_errors__iter:1,3
route__wirelength__iter:1,466
route__drc_errors__iter:2,1
route__wirelength__iter:2,467
route__drc_errors__iter:3,3
route__wirelength__iter:3,461
route__drc_errors__iter:4,0
route__wirelength__iter:4,459
route__drc_errors,0
route__wirelength,459
route__vias,225
route__vias__singlecut,225
route__vias__multicut,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0000859730935189873
power__switching__total,0.00002045700057351496
power__leakage__total,3.4803090964707906E-10
power__total,0.00010643044515745714
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.0007194106625156167
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.0007194106625156167
timing__hold__ws__corner:nom_tt_025C_1v80,0.5458639250670492
timing__setup__ws__corner:nom_tt_025C_1v80,8.245700355904205
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.545864
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.0011135814807688828
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.0011135814807688828
timing__hold__ws__corner:nom_ss_100C_1v60,1.052815309176582
timing__setup__ws__corner:nom_ss_100C_1v60,7.456645290061871
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.052815
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.664508
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.0005261208284617671
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.0005261208284617671
timing__hold__ws__corner:nom_ff_n40C_1v95,0.3519618585089549
